Tanggal SPS,Tanggal Bayar,No. SPS,Saluran,ID Pembeli,KAB/ Kota,Nama Komoditi,Jenis Komoditi,Merk Komoditi,Kemasan,Satuan,Kolli Terjual,Kuantum Terjual (Kg/L),Harga per Kemasan,Nominal Penjualan
01-02-2019,01-02-2019,02130/01/2019/09001/SPST,KOPERASI/ASOSIASI,77844,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,FOREQUARTER,DAGING KITA,18,Kg,1,18,1098000,1098000
01-02-2019,01-02-2019,02010/01/2019/09001/SPST,TOKO/AGEN/PENGECER,72580,KOTA ADM. JAKARTA TIMUR,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,5,100,1440000,7200000
17-12-2018,01-02-2019,01200/12/2018/09001/SPST,HOREKA,55107,KAB. TANGERANG,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,12,240,1380000,16560000
01-02-2019,01-02-2019,02007/01/2019/09001/SPST,HOREKA,55107,KAB. TANGERANG,DAGING KERBAU,FOREQUARTER,DAGING KITA,20,Kg,7,140,1380000,9660000
01-03-2019,01-02-2019,00007/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67725,KOTA ADM. JAKARTA PUSAT,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,75,75,70000,5250000
01-02-2019,01-02-2019,00006/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,19294,KOTA ADM. JAKARTA TIMUR,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,5,Kg,1,5,59000,59000
01-02-2019,01-02-2019,00005/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67727,KOTA ADM. JAKARTA TIMUR,BERAS,PREMIUM 10%,BERAS KITA PREMIUM,200,gr,210,42,2300,483000
01-02-2019,01-02-2019,00005/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67727,KOTA ADM. JAKARTA TIMUR,GULA,GKP EKS RAWSUGAR PT.JMR,MANIS KITA,1,Kg,20,20,10000,200000
01-02-2019,01-02-2019,00005/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,67727,KOTA ADM. JAKARTA TIMUR,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,20,20,11800,236000
01-02-2019,01-02-2019,00004/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,18614,KOTA ADM. JAKARTA UTARA,BERAS,KHUSUS,BERAS PANDAN WANGI 5KG,5,Kg,8,40,69500,556000
01-02-2019,01-02-2019,00004/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,18614,KOTA ADM. JAKARTA UTARA,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,36,36,11800,424800
01-02-2019,01-02-2019,00003/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,20553,KAB. BOGOR,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,50,50,70000,3500000
01-02-2019,01-02-2019,00002/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,29556,KOTA ADM. JAKARTA UTARA,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,15,15,70000,1050000
01-02-2019,01-02-2019,00001/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44071,KOTA ADM. JAKARTA SELATAN,DAGING KERBAU,HINDQUARTER,DAGING KITA,1,Kg,3,3,70000,210000
01-02-2019,01-02-2019,00001/01/2019/09001/SPST,RPK-NON BPNT/Program Sembako,44071,KOTA ADM. JAKARTA SELATAN,MINYAK GORENG,MINYAK GORENG KITA,MINYAK GORENG KITA,1,L,2,2,11800,23600
01-02-2019,01-02-2019,00001/01/2019/09020/SPST,PERUSAHAAN SWASTA/CV/UD,71287,KAB. TANGERANG,BERAS,THAILAND 5%,BERAS POLOS,50,Kg,26,1300,480000,12480000
